BISHOP,[6526641]
OLANCHA,[817306]
LONE PINE,[583822]
BIG PINE,[388361]
ALABAMA HILLS,[296875]
TRONA,[197008]
INDEPENDENCE,[133515]
WILKERSON,[130208]
ASPENDELL,[92874]
TECOPA,[89402]
ROUND VALLEY,[82914]
PANAMINT VALLEY,[67570]
ABERDEEN,[65591]
MILL CREEK,[58702]
STOVEPIPE WELLS,[54605]
KEELER,[39095]
CHARLESTON VIEW,[32036]
PEARSONVILLE,[30786]
CARTAGO,[30696]
HOMEWOOD CANYON,[25730]
FORT INDEPENDENCE,[23190]
LAWS,[22786]
DEATH VALLEY,[22074]
LITTLE LAKE,[18811]
ROCK CREEK,[18661]
DARWIN,[17196]
CERRO GORDO,[10500]
PINE CREEK,[9050]
STEWART VALLEY,[7297]
ROVANA,[7159]
SHOSHONE,[6321]
COSO JUNCTION,[4685]
CHICAGO VALLEY,[4010]
TIMBISHA INDIAN VILLAGE,[3648]
SANDY VALLEY,[1681]
FURNACE CREEK,[652]
DEATH VALLEY JUNCTION,[608]
DEEP SPRINGS COLLEGE,[250]
