LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-118.2814555,37.165987,110,N PIPER ST,,BIG PINE,,,,,848e5d7a57c080f8
-118.2837718,37.1656787,151,N RICHARDS ST,,BIG PINE,,,,,9e5b461661958ede
-118.282186,37.1658763,155,N PIPER ST,,BIG PINE,,,,,85bc70e3800d233b
-118.2807843,37.1649342,214,N PIPER ST,,BIG PINE,,,,,d44de7316ab8293a
-118.2807845,37.1646678,242,N PIPER ST,,BIG PINE,,,,,c0478e2afefb3b57
-118.2814629,37.165196,204,N PIPER ST,,BIG PINE,,,,,fa38d2e8030b1c27
-118.2814706,37.1643965,264,N PIPER ST,,BIG PINE,,,,,c4924f357414fde1
-118.2814681,37.164663,244,N PIPER ST,,BIG PINE,,,,,fc8a7b2c7a41baa1
-118.2807859,37.1630689,392,N PIPER ST,,BIG PINE,,,,,5cb87804d2374eb9
-118.2814758,37.1638635,296,N PIPER ST,,BIG PINE,,,,,fc97a9f07cc4ce94
-118.2814732,37.16413,284,N PIPER ST,,BIG PINE,,,,,abdb1b4262aea3ee
-118.2829404,37.1651725,192,N RICHARDS ST,,BIG PINE,,,,,8d16b3f7cef5c65d
-118.2829494,37.1645498,264,N RICHARDS ST,,BIG PINE,,,,,8888f0917fe91479
-118.2829449,37.1648612,214,N RICHARDS ST,,BIG PINE,,,,,e0223249993090e1
-118.283788,37.1645531,281,N RICHARDS ST,,BIG PINE,,,,,9a5987cbc8dbc873
-118.2829629,37.1636158,324,N RICHARDS ST,,BIG PINE,,,,,27951ca0cf2448da
-118.2829719,37.1629932,384,N RICHARDS ST,,BIG PINE,,,,,52183fd9ae19a00e
-118.2838083,37.1631461,301,N RICHARDS ST,,BIG PINE,,,,,e16f10f1a3de6374
-118.2829584,37.1639272,294,N RICHARDS ST,,BIG PINE,,,,,e7d46e87e6329f11
-118.2823045,37.1648657,215,N PIPER ST,,BIG PINE,,,,,d461645e538e8cfb
-118.2823085,37.1645544,225,N PIPER ST,,BIG PINE,,,,,b04ba1e3ac86106b
-118.2823282,37.1629978,385,N PIPER ST,,BIG PINE,,,,,767a9f9f934e5dfa
-118.2823124,37.1642431,235,N PIPER ST,,BIG PINE,,,,,eac99f9b7d82e57f
-118.2822966,37.1654884,165,N PIPER ST,,BIG PINE,,,,,175a21f1626b7a7b
-118.2837759,37.1653973,161,N RICHARDS ST,,BIG PINE,,,,,b32a0aa763f87b2e
-118.2815055,37.1608071,584,N PIPER ST,,BIG PINE,,,,,7841c36983825d49
-118.2815081,37.1605434,594,N PIPER ST,,BIG PINE,,,,,59e3dc6c35bd1d9c
-118.2829809,37.1623705,394,N RICHARDS ST,,BIG PINE,,,,,3c14b44e02157a2f
-118.2829965,37.1612906,504,N PIPER ST,,BIG PINE,,,,,409c64d6d7ac2075
-118.2838345,37.1613204,501,N RICHARDS ST,,BIG PINE,,,,,6b0317f212f224e1
-118.2823401,37.1620638,465,N PIPER ST,,BIG PINE,,,,,1b6b507859b3dc0b
-118.2807877,37.1588261,715,S NEWMAN ST,,BIG PINE,,,,,1d0e1d3d382f8305
-118.2815183,37.1594883,690,N PIPER ST,,BIG PINE,,,,,35db05515167bc84
-118.2815208,37.158821,710,BARTELL RD,,BIG PINE,,,,,19ac91694a0efe95
-118.2815209,37.1592246,515,BARTELL RD,,BIG PINE,,,,,ab807486d2d9a2d7
-118.2808072,37.1574811,835,S NEWMAN ST,,BIG PINE,,,,,e41576dbd75a18d6
-118.2815281,37.158283,765,S PIPER ST,,BIG PINE,,,,,838c556258aacd22
-118.2827009,37.1593166,453,BARTELL RD,,BIG PINE,,,,,b0da20b8db0fa17b
-118.2837508,37.1592954,445,BARTELL RD,,BIG PINE,,,,,321c40e33802a8cf
-118.2831343,37.1593135,451,BARTELL RD,,BIG PINE,,,,,b8445943b58cadbd
-118.2838823,37.1576328,815,S RICHARDS ST,,BIG PINE,,,,,c62ac732b928aad1
-118.2830316,37.1587884,450,BARTELL RD,,BIG PINE,,,,,9bbad962eb96683b
-118.2838654,37.1587913,440,BARTELL RD,,BIG PINE,,,,,4b46bd5b5faab42d
-118.282381,37.1587911,464,S PIPER ST,,BIG PINE,,,,,6e27fdd6f661f5af
-118.2822674,37.1593197,695,N PIPER ST,,BIG PINE,,,,,56fcaa3eb106aa67
-118.2807862,37.1628025,404,N PIPER ST,,BIG PINE,,,,,9af12337cc906108
-118.2814862,37.1627976,394,N PIPER ST,,BIG PINE,,,,,fbf1f3b7432c16ad
-118.2806984,37.1561994,951,S NEWMAN ST,,BIG PINE,,,,,473c771e4266662a
-118.280817,37.1568058,895,S NEWMAN ST,,BIG PINE,,,,,e50b125d27f4db7e
-118.2808209,37.1565367,927,S NEWMAN ST,,BIG PINE,,,,,a348158f0fe07034
-118.2815682,37.1550118,1010,S PIPER ST,,BIG PINE,,,,,d698f3b42ccf2a1b
-118.2815654,37.155289,1002,S PIPER ST,,BIG PINE,,,,,d86db94a4ea35850
-118.2808316,37.1555758,971,S NEWMAN ST,,BIG PINE,,,,,2cec9ab839ca762b
-118.2808387,37.1550128,1025,S NEWMAN ST,,BIG PINE,,,,,57b716f4b857f373
-118.2808357,37.15529,1005,S NEWMAN ST,,BIG PINE,,,,,bd429fdb52909a24
-118.2808294,37.1558588,941,S NEWMAN ST,,BIG PINE,,,,,0635f89022b9b02d
-118.2838903,37.1570551,875,S RICHARDS ST,,BIG PINE,,,,,cbab2bbc7038a442
-118.2838984,37.1564774,925,S RICHARDS ST,,BIG PINE,,,,,c7ea15717f533f99
-118.2839023,37.1562029,965,S RICHARDS ST,,BIG PINE,,,,,01dad2e4fa7e1f51
-118.2830533,37.1569255,896,S RICHARDS ST,,BIG PINE,,,,,208c323865541ab1
-118.2830602,37.1563148,946,S RICHARDS ST,,BIG PINE,,,,,fdd2dfb48b4b261a
-118.2831212,37.1565753,926,S RICHARDS ST,,BIG PINE,,,,,8acc950f3959cb81
-118.2839186,37.1550331,1025,S RICHARDS ST,,BIG PINE,,,,,0d62e00217a2f61a
